'version';'constraints';'alpha';'support';'mode';'file';'alphabet';'minlen';'maxlen';'logsize';'time'
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;3522
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;2926
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;2955
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;14082
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;13542
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;15701
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;3102
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;3104
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;3664
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;15925
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;15402
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;14888
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;3590
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;2950
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;3776
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;14383
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;13831
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_100_minlen_16_maxlen_16_size_1600.mxml;100;16;16;1600;16445
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;3080
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;3392
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;3032
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;15589
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;16075
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;15921
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;3217
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;3137
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;3134
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;15442
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;15965
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;15439
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;2997
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;3016
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;2955
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;14042
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;14370
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_104_minlen_16_maxlen_16_size_1600.mxml;104;16;16;1600;14715
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;3888
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;3210
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;3107
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;15850
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;15662
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;15766
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;3245
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;3141
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;3230
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;14971
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;14961
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;15568
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;3199
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;3193
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;3118
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;15323
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;15558
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_108_minlen_16_maxlen_16_size_1600.mxml;108;16;16;1600;15122
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;3433
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;3149
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;3752
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;19371
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;16793
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;16963
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;3538
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;4060
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;3715
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;17258
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;18987
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;16599
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;3376
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;3395
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;3380
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;16599
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;16507
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_112_minlen_16_maxlen_16_size_1600.mxml;112;16;16;1600;16414
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;3805
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;3715
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;4103
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;20337
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;17405
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;17533
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;3349
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;3519
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;3544
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;18754
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;18245
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;17577
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;3432
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;3301
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;3637
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;18678
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;17418
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;100;replayers;alpha_116_minlen_16_maxlen_16_size_1600.mxml;116;16;16;1600;18043
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;652
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;573
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;80;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;533
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;870
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;822
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;80;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;864
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;525
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;524
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;90;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;565
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;820
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;917
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;100;90;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;851
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;730
v4;Alternate_Precedence,Alternate_Response,Alternate_Succession,Chain_Precedence,Chain_Response,Chain_Succession,Existence,Init,Precedence,Responded_Existence,Response,Succession,Absence2;0;100;replayers;alpha_12_minlen_16_maxlen_16_size_1600.mxml;12;16;16;1600;692
